Designator,Mid X,Mid Y,Layer,Rotation
R39,70.695000mm,-44.932000mm,Top,90
R40,96.456000mm,-42.432000mm,Top,-90
R41,96.456000mm,-44.932000mm,Top,90
R42,70.695000mm,-56.432000mm,Top,-90
R43,70.695000mm,-58.932000mm,Top,90
R44,96.456000mm,-56.432000mm,Top,-90
R45,96.456000mm,-58.932000mm,Top,90
R46,70.695000mm,-70.432000mm,Top,-90
R47,70.695000mm,-72.932000mm,Top,90
R48,96.456000mm,-70.432000mm,Top,-90
R49,96.456000mm,-72.932000mm,Top,90
R50,70.695000mm,-84.432000mm,Top,-90
R51,70.695000mm,-86.932000mm,Top,90
R52,96.456000mm,-84.432000mm,Top,-90
R53,96.456000mm,-86.932000mm,Top,90
R54,70.695000mm,-98.432000mm,Top,-90
R55,70.695000mm,-100.932000mm,Top,90
R56,96.456000mm,-98.432000mm,Top,-90
R57,96.456000mm,-100.932000mm,Top,90
R58,70.695000mm,-112.432000mm,Top,-90
R59,70.695000mm,-114.932000mm,Top,90
R60,96.456000mm,-112.432000mm,Top,-90
R61,96.456000mm,-114.932000mm,Top,90
R62,70.695000mm,-126.432000mm,Top,-90
R63,70.695000mm,-128.932000mm,Top,90
R64,96.456000mm,-126.432000mm,Top,-90
R65,96.456000mm,-128.932000mm,Top,90
R66,70.640000mm,-140.892000mm,Top,-90
R67,70.640000mm,-143.392000mm,Top,90
R68,96.456000mm,-141.432000mm,Top,-90
R69,96.456000mm,-143.932000mm,Top,90
R70,184.600000mm,-47.911000mm,Top,180
R71,186.500000mm,-47.900000mm,Top,180
R72,220.900000mm,-129.000000mm,Top,-90
R73,220.900000mm,-135.000000mm,Top,-90
R74,220.900000mm,-141.000000mm,Top,-90
R75,220.900000mm,-147.000000mm,Top,-90
R76,220.900000mm,-153.000000mm,Top,-90
R77,220.900000mm,-159.000000mm,Top,-90
R78,220.900000mm,-117.000000mm,Top,-90
R79,184.600000mm,-58.911000mm,Top,180
R80,186.500000mm,-58.900000mm,Top,180
R81,184.600000mm,-69.911000mm,Top,180
R82,186.500000mm,-69.900000mm,Top,180
R83,203.397500mm,-80.158000mm,Top,180
R84,205.297500mm,-80.147000mm,Top,180
R85,184.600000mm,-80.238000mm,Top,180
R86,186.500000mm,-80.227000mm,Top,180
R87,203.397500mm,-91.238000mm,Top,180
R88,205.297500mm,-91.227000mm,Top,180
R89,184.600000mm,-91.565500mm,Top,180
R90,186.500000mm,-91.554500mm,Top,180
R91,194.600000mm,-102.565500mm,Top,180
R92,196.500000mm,-102.554500mm,Top,180
R93,194.600000mm,-113.565500mm,Top,180
R94,196.500000mm,-113.554500mm,Top,180
R95,194.600000mm,-124.565500mm,Top,180
R96,196.500000mm,-124.554500mm,Top,180
R97,194.600000mm,-135.565500mm,Top,180
R98,196.500000mm,-135.554500mm,Top,180
R99,194.600000mm,-146.565500mm,Top,180
R100,196.500000mm,-146.554500mm,Top,180
R101,203.657500mm,-47.803500mm,Top,180
R102,205.557500mm,-47.792500mm,Top,180
R103,203.657500mm,-58.803500mm,Top,180
R104,205.557500mm,-58.792500mm,Top,180
R105,203.449500mm,-69.565500mm,Top,180
R106,205.349500mm,-69.554500mm,Top,180
R107,220.900000mm,-125.000000mm,Top,90
R108,69.000000mm,-47.500000mm,Top,90
R109,94.761000mm,-47.500000mm,Top,90
R110,69.000000mm,-61.500000mm,Top,90
R111,94.761000mm,-61.500000mm,Top,90
R112,69.000000mm,-75.500000mm,Top,90
R113,94.761000mm,-75.500000mm,Top,90
